ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.4842
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.4855
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.1291
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.1302
Kotak Banking and PSU Debt - Growth	65.7704
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3567
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.5641
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2348
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.2626
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.8339
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.2487
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0298
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2465
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.0536
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.1192
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3568
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.3359
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.3310
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.0355
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.0366
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	21.6806
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3431
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	21.6806
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7103
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.8562
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3421
NIPPON INDIA BANKING and PSU FUND - IDCW Option	20.8793
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.6393
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.7907
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	21.6806
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	20.8793
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1468.2316
SBI BANKING & PSU FUND - Direct Plan - Growth	3333.3101
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1305.9790
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1464.9701
SBI BANKING & PSU FUND - Regular Paln - Growth	3134.7651
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1430.1666
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1223.7305
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1429.8253
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	43.9932
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.7500
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	43.3677
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.7923
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1308.3987
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1278.8476
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1147.6607
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1304.2391
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1141.0373
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1163.2647
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1121.1968
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1119.6094
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1229.1961
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1120.8476
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1136.9385
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1103.8255
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.3242
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.4288
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.5462
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	14.9611
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5072
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	16.7809
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.0753
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	14.8608
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	14.7985
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.2782
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.2074
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.1601
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	115.2666
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	113.3108
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.7346
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.779
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.0532
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.5789
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.1996
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.1794
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.2325
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3301
Axis Corporate Bond Fund - Direct Plan Growth	18.2431
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.1960
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1730
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.3058
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2086
Axis Corporate Bond Fund - Regular Plan Growth	17.2217
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5785
BANDHAN Corporate Bond Fund - Direct Growth	19.9336
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.8863
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3084
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.2246
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.6056
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5577
BANDHAN Corporate Bond Fund - Regular Growth	19.3486
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.2446
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5587
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.0435
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.6377
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.5438
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.0693
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4331
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.4855
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	11.7927
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	29.4204
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6059
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7029
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.4691
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	27.7076
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.4742
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5064
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.3827
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.4517
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	21.8021
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.6268
DSP Corporate Bond Fund - Direct - Growth	16.4251
DSP Corporate Bond Fund - Direct - IDCW	11.615
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.5948
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.4069
DSP Corporate Bond Fund - Regular - Growth	16.1373
DSP Corporate Bond Fund - Regular - IDCW	11.5807
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5699
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.7538
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	108.8742
Franklin India Corporate Debt Fund - Growth	100.4497
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.1479
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.2715
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	15.2827
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.1931
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8406
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.9620
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3056
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1465
HDFC Corporate Bond Fund - Growth Option	32.71
HDFC Corporate Bond Fund - Growth Option - Direct Plan	33.4369
HDFC Corporate Bond Fund - IDCW Option	19.8016
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.4877
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.4641
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.3644
HSBC Corporate Bond Fund - Direct Annual IDCW	12.0973
HSBC Corporate Bond Fund - Direct Growth	78.6441
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.5277
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.5438
HSBC Corporate Bond Fund - Regular Annual IDCW	11.8344
HSBC Corporate Bond Fund - Regular Growth	73.8109
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1195
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.1711
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.0374
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	31.5195
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2126
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.4642
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
